Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Cause,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,2,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,4,E,,,,,,,IG
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,2,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,9,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,Bright orange in color,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,4,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,1,"WSpt, P, ",UWS,WSO,Ulcerative White Spot Disease,Predation,,Look more like predation - fish bite marks,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,1,"WSpt,",UWS,WSO,Ulcerative White Spot Disease,,,Look like white spot syndrome,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,White spots on surface,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Platygyra,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Isopora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,8,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,2,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,2,GA,GA,,,,,,GA
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Favites,1,M ,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Coscinaraea,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Coscinaraea,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,SM,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,Thin white mark on edge as its competition with another colony for space,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Goniastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Fungia,1,S,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,4,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,5,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,"WSpt, PD",UWS,WSO,Ulcerative White Spot Disease,,,"parts of colony dead. Dead portions have white CCA growing on them, dead tissue could be due to excavator bite marks , also a little pigmentation response due to abrasion",UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,5,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,With white/pale patches on surface,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Favites,2,SM,3,PD,,,Bleaching ,,,Also bleached,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Stylophora,1,B,2,GA,GA,,,,,,GA
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,B,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Isopora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Leptastrea,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Platygyra,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Favites,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,"WSpt, PD",UWS,WSO,Ulcerative White Spot Disease,,,Partly dead,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,SM,1,"WSpt,",UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Psammocora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,P,P,P,,Predation,,,P
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,2,PR,PR,,Pigmentation Response,,,,PR
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Favites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Isopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,4,E,,,,,,,IG
Leleuvia,9/27/2013,12:25,LUDF2,1,Leptoria,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,2,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Echinopora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,2,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,3,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Merulina,1,F,1,B,B,B,,,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,T,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,5,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,9,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Symphyllia,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,4,"E, PD",,,,Eroded,,Partly dead,IG
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Goniastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Platygyra,1,M ,4,E,,,,,,,IG
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Goniastrea,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Favites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,1,"WS, P,B",WS,WS,White Syndrome,Predation,Bleaching ,,WS
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,4,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,3,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,3,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Coscinaraea,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,1,FB,FB,B,Focal Bleaching ,,,,FB
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,1,"WS, PD",WS,WS,White Syndrome,,,Partly dead due to WS,WS
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,4,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,Mostly dead with a tiny bit of live tissue,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,5,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Echinophyllia,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,14,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Leptoria,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Goniastrea,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,2,SM,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,Pale patches with some microbial on surface,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Fungia,1,S,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Echinopora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,3,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,F,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,FB,FB,B,,Focal Bleaching ,,,FB
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,1,"P, PD",P,P,,Predation,,Partly dead maybe because of grazing and excavating by herbivorous fish,P
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,SM,1,FB,FB,B,,Focal bleaching ,,,FB
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,B,1,"B, PD",B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,1,"WS, P",WS,WS,White Syndrome,Predation,,Partly dead colony with thin white line or band from the edge,WS
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,1,WS,WS,WS,White Syndrome,,,Partly dead due to WS,WS
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Leptoseris,1,F,2,GA,GA,,,,,,GA
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,2,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,2,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Isopora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,7,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,3,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Favites,1,SM,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,3,PD,,,,,,,PD
